index,tissue_main,tissue_sub
15744017,CTX_1,HY_11
15744028,CTX_1,HY_2
15748739,CTX_1,HY_4
15748742,CTX_1,CTX_A_1
15749148,Hbl_VS,HY_4
15757538,CTX_2,TH_8
15757594,CTX_2,TH_7
16021149,CTX_2,CNU_8_4
16021203,CTX_2,VS_1
16021349,CTX_2,CNU_13_1
16021385,CTX_2,CNU_4
16023986,CTX_2,CNU_13_2
