index,main_STARmap,sub_STARmap
40828,Cholinergic and monoaminergic neurons,HA_1
41433,Peptidergic neurons,INH_4
41447,Peptidergic neurons,PEP_8
41484,Peptidergic neurons,PEP_9
42429,Peptidergic neurons,PEP_10
42829,Di- and mesencephalon excitatory neurons,MEGLU_1
42831,Peptidergic neurons,PEP_11
42888,Peptidergic neurons,PEP_5
42912,Cholinergic and monoaminergic neurons,SER_6
42943,Di- and mesencephalon excitatory neurons,MEGLU_5
43093,Peptidergic neurons,INH_2
43140,Peptidergic neurons,INH_3
43824,Peptidergic neurons,PEP_2
44266,Peptidergic neurons,PEP_12
44386,Cholinergic and monoaminergic neurons,SER_1
45052,Di- and mesencephalon excitatory neurons,DEGLU_4
45260,Di- and mesencephalon excitatory neurons,HABGLU_1
45417,Cholinergic and monoaminergic neurons,CHO_6
46550,Vascular endothelial cells,VEN_2
46617,Olfactory ensheathing cells,OEC
48418,Choroid plexus epithelial cells,CHOR
50958,Telencephalon inhibitory interneurons,TEINH_4
60762,Peptidergic neurons,PEP_21
61810,Di- and mesencephalon excitatory neurons,DEGLU_3
62535,Telencephalon projecting inhibitory neurons,MSN_10
64836,Astrocytes,AC_2
65318,Di- and mesencephalon excitatory neurons,HABCHO_1
72985,Cholinergic and monoaminergic neurons,CHO_1
73520,Peptidergic neurons,PEP_19
73543,Dentate gyrus granule neurons,DGGRC
73805,Peptidergic neurons,PEP_1
74193,Di- and mesencephalon excitatory neurons,DEGLU_5
74401,Peptidergic neurons,PEP_23
74429,Cholinergic and monoaminergic neurons,MEGLU_6
81618,Di- and mesencephalon inhibitory neurons,INH_12
81639,Telencephalon inhibitory interneurons,TEINH_12
81719,Telencephalon inhibitory interneurons,TEINH_6
81739,Telencephalon inhibitory interneurons,TEINH_28
82777,Glutamatergic neuroblasts,GNBL_1
82976,Glutamatergic neuroblasts,GNBL_3
83307,Di- and mesencephalon inhibitory neurons,MEINH_3
85457,Glutamatergic neuroblasts,GNBL_4
86527,Telencephalon inhibitory interneurons,TEINH_30
86879,Telencephalon inhibitory interneurons,TEINH_23
88295,Glutamatergic neuroblasts,GNBL_2
89500,Telencephalon projecting excitatory neurons,TEGLU_41
113992,Di- and mesencephalon excitatory neurons,DEGLU_2
114794,Peptidergic neurons,TEINH_35
116350,Telencephalon inhibitory interneurons,TEINH_16
116778,Di- and mesencephalon inhibitory neurons,MEINH_2
117500,Di- and mesencephalon excitatory neurons,HABCHO_3
126316,Telencephalon inhibitory interneurons,TEINH_22
126802,Telencephalon inhibitory interneurons,TEINH_9
127331,Cholinergic and monoaminergic neurons,SER_4
147332,Di- and mesencephalon excitatory neurons,MEGLU_4
159449,Telencephalon projecting excitatory neurons,TEGLU_1
160105,Telencephalon projecting excitatory neurons,TEGLU_8
161264,Telencephalon inhibitory interneurons,TEINH_26
162179,Telencephalon projecting excitatory neurons,TEGLU_25
162186,Telencephalon projecting excitatory neurons,TEGLU_7
162237,Di- and mesencephalon excitatory neurons,MEGLU_3
162538,Di- and mesencephalon excitatory neurons,GLU_3
207129,Telencephalon inhibitory interneurons,TEINH_19
