Symbol,Description
INH_8,"Hindbrain/spinal cord neurons, marker genes Hoxb8_Hoxb6_Serpinb1b"
TEINH_1,"Telencephalon inhibitory interneurons, marker genes Sst_Npy_Crhbp_Bdkrb1"
TEINH_2,"Telencephalon inhibitory interneurons, marker genes Vip_Adarb2"
TEINH_3,"Telencephalon inhibitory interneurons, marker genes Lamp5_Kit_Npy_Pde11a"
TEINH_4,"Telencephalon inhibitory interneurons, marker genes Sst_Npy_Crhbp"
TEINH_5,"Telencephalon inhibitory interneurons, marker genes Pvalb_Syt2_Cox6a2"
TEINH_6,"Telencephalon inhibitory interneurons, marker genes Pvalb_Syt2"
TEINH_7,"Telencephalon inhibitory interneurons, marker genes Pvalb_Rbp4_Kcnc2"
TEINH_8,"Telencephalon inhibitory interneurons, marker genes Pvalb_Crhbp_Igfbp4"
TEINH_9,"Telencephalon inhibitory interneurons, marker genes Adarb2_Cxcl14_Reln"
TEINH_10,"Telencephalon inhibitory interneurons, marker genes Vip_Htr3a_Th_Pde1c"
TEINH_11,"Telencephalon inhibitory interneurons, marker genes Vip_Adarb2_Htr3a"
TEINH_12,"Telencephalon inhibitory interneurons, marker genes Sst"
TEINH_13,"Telencephalon inhibitory interneurons, marker genes Lamp5_Kit_Reln_Ndnf"
TEINH_14,"Telencephalon inhibitory interneurons, marker genes Vip_Adarb2_Pthlh"
TEINH_15,"Telencephalon inhibitory interneurons, marker genes Pvalb_Cemip_Adamts15"
TEINH_16,"Telencephalon inhibitory interneurons, marker genes Adarb2_Cxcl14_Htr3a"
TEINH_17,"Telencephalon inhibitory interneurons, marker genes Pvalb_Oprd1_Kcnc2"
TEINH_18,"Telencephalon inhibitory interneurons, marker genes Sst_Npy_Nos1"
TEINH_19,"Telencephalon inhibitory interneurons, marker genes Sst_Npas1_Lypd6"
TEINH_20,"Telencephalon inhibitory interneurons, marker genes Adarb2_Yjefn3_Cck"
TEINH_21,"Telencephalon inhibitory interneurons, marker genes Sst_Col19a1_Reln"
TEINH_22,"Telencephalon inhibitory interneurons, marker genes Vip_Th_Pde1c"
TEINH_23,"Telencephalon inhibitory interneurons, marker genes Pvalb_Syt2_Crhbp"
TEINH_24,"Telencephalon inhibitory interneurons, marker genes Adarb2_Npas1"
TEINH_25,"Telencephalon inhibitory interneurons, marker genes Pvalb_Igfbp4_Gpr83_Pthlh"
TEINH_26,"Telencephalon inhibitory interneurons, marker genes Sst_Pdyn_Sfrp2"
TEINH_27,"Telencephalon inhibitory interneurons, marker genes Lamp5_Pde11a_Hapln1"
TEINH_28,"Telencephalon inhibitory interneurons, marker genes Sst_Lypd6_Rbp4"
TEINH_29,"Telencephalon inhibitory interneurons, marker genes Sst_Lypd6_Grik1"
TEINH_30,"Telencephalon inhibitory interneurons, marker genes Pvalb_Pthlh_Igfbp4"
TEINH_31,"Telencephalon inhibitory interneurons, marker genes Pnoc"
TEINH_32,"Telencephalon inhibitory interneurons, marker genes Pvalb_Cox6a2"
TEINH_33,"Telencephalon inhibitory interneurons, marker genes Lamp5_Myh8_Pde11a"
TEINH_34,"Telencephalon inhibitory interneurons, marker genes Col25a1_Adarb2_Krt73"
OBINH_1,"Olfactory inhibitory neurons, marker genes Gad1_Pbx3"
OBINH_2,"Olfactory inhibitory neurons, marker genes Gad1_Pbx3_Sp9"
OBINH_3,"Olfactory inhibitory neurons, marker genes Gad1_Tpbg_Tiam2"
OBINH_4,"Olfactory inhibitory neurons, marker genes Gad1_Pbx3_Scgn"
OBINH_5,"Olfactory inhibitory neurons, marker genes Gad1_Pbx3_Nr4a3"
OBINH_6,"Olfactory inhibitory neurons, marker genes Gad1_Pbx3_Chrna2"
OBINH_7,"Olfactory inhibitory neurons, marker genes Gad1_Th_Trh"
TEGLU_1,"Telencephalon projecting excitatory neurons, marker genes Lypd1_Hpcal1_Dbpht2"
TEGLU_2,"Telencephalon projecting excitatory neurons, marker genes Dcn_Cadm1_Prkcg"
TEGLU_3,"Telencephalon projecting excitatory neurons, marker genes Kcng1_C1ql3_Hpcal1"
TEGLU_4,"Telencephalon projecting excitatory neurons, marker genes Neurod6_Cpne6_Nptx1"
TEGLU_5,"Telencephalon projecting excitatory neurons, marker genes Neurod6_Prkcg_Cpne6"
TEGLU_6,"Telencephalon projecting excitatory neurons, marker genes Neurod6_Nr3c2_Rgs14"
TEGLU_7,"Telencephalon projecting excitatory neurons, marker genes Nptx1_Hs3st4_Rprm"
TEGLU_8,"Telencephalon projecting excitatory neurons, marker genes Cux2_Lamp5_Rgs4"
TEGLU_9,"Telencephalon projecting excitatory neurons, marker genes Rorb_Rgs4_Grm2"
TEGLU_10,"Telencephalon projecting excitatory neurons, marker genes Tshz2_Dkk3_Neurod6"
TEGLU_11,"Telencephalon projecting excitatory neurons, marker genes Lmo3_Slc30a3_Rprm"
TEGLU_12,"Telencephalon projecting excitatory neurons, marker genes Grfa2_Necab1_Plcxd2"
TEGLU_13,"Telencephalon projecting excitatory neurons, marker genes Nxph3_Prss12_Hs3st4"
TEGLU_14,"Telencephalon projecting excitatory neurons, marker genes Parm1_Tox_Kcng1"
TEGLU_15,"Telencephalon projecting excitatory neurons, marker genes Scube1_Pde1a_Hs3st2"
TEGLU_16,"Telencephalon projecting excitatory neurons, marker genes Matn2_Cpne6_Lypd1"
TEGLU_17,"Telencephalon projecting excitatory neurons, marker genes C1ql3_Col6a1_Rasl10a"
TEGLU_18,"Telencephalon projecting excitatory neurons, marker genes Hs3st2_Slc24a2_Rasl10a"
TEGLU_19,"Telencephalon projecting excitatory neurons, marker genes Cux2_Nptx2_C1ql3"
TEGLU_20,"Telencephalon projecting excitatory neurons, marker genes Bmp3_C1ql3_Atp2b4"
TEGLU_21,"Telencephalon projecting excitatory neurons, marker genes Kcns1_Rgs4_Vamp1"
TEGLU_22,"Telencephalon projecting excitatory neurons, marker genes Tshz2_Nxph3_Lypd1"
TEGLU_23,"Telencephalon projecting excitatory neurons, marker genes Nr4a2_Synpr_Rgs12"
TEGLU_24,"Telencephalon projecting excitatory neurons, marker genes Slc17a7_Nrgn"
TEGLU_25,"Telencephalon projecting excitatory neurons, marker genes Cux2_Grp_C1ql3"
TEGLU_26,"Telencephalon projecting excitatory neurons, marker genes Lmo3_Abi3bp_Ndst4"
TEGLU_27,"Telencephalon projecting excitatory neurons, marker genes Cux2_Cckbr_C1ql3"
TEGLU_28,"Telencephalon projecting excitatory neurons, marker genes Necab1_Cbln4_Cbln1"
TEGLU_29,"Telencephalon projecting excitatory neurons, marker genes Slc17a7_Nrgn_Tbr1_Chrm1_Olfm2"
TEGLU_30,"Telencephalon projecting excitatory neurons, marker genes Tshz2_Rxfp1_Dkk3"
TEGLU_31,"Telencephalon projecting excitatory neurons, marker genes Cux2_C1ql3_Nwd2"
TEGLU_32,"Telencephalon projecting excitatory neurons, marker genes Cux2_C1ql3_Rgs14"
TEGLU_33,"Telencephalon projecting excitatory neurons, marker genes Cux2_C1ql3_Chrm3"
TEGLU_34,"Telencephalon projecting excitatory neurons, marker genes Bmp3_Rprm_Hs3st4"
TEGLU_35,"Telencephalon projecting excitatory neurons, marker genes Tshz2_Cbln1_Nrep"
TEGLU_36,"Telencephalon projecting excitatory neurons, marker genes Cux2_Junb_Fos"
TEGLU_37,"Telencephalon projecting excitatory neurons, marker genes Slc17a7_Myl4"
TEGLU_38,"Telencephalon projecting excitatory neurons, marker genes Cux2_C1ql3_Dclk3"
TEGLU_39,"Telencephalon projecting excitatory neurons, marker genes Slc17a7_Slc30a3"
TEGLU_40,"Telencephalon projecting excitatory neurons, marker genes Slc17a7_Neurod6"
TEGLU_41,"Telencephalon projecting excitatory neurons, marker genes Slc17a7_Satb1"
MSN_1,"Telencephalon projecting inhibitory neurons, marker genes Drd2_Penk_Adora2a"
MSN_2,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Tac1_Pdyn"
MSN_3,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Chrm4_Gpr139"
MSN_4,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Tac1"
MSN_5,"Telencephalon projecting inhibitory neurons, marker genes Adora2a_Penk"
MSN_6,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Foxp2_Lypd1"
MSN_7,"Telencephalon projecting inhibitory neurons, marker genes Drd2_Penk_Gpr83"
MSN_8,"Telencephalon projecting inhibitory neurons, marker genes Drd2_Penk_Dmkn"
MSN_9,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Tac1_Otof"
MSN_10,"Telencephalon projecting inhibitory neurons, marker genes Penk_Ppp1r1b"
MSN_11,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Dmkn"
MSN_12,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Tac1_Pde1a_Syt6"
MSN_13,"Telencephalon projecting inhibitory neurons, marker genes Drd1_Tac1_Pdyn_Nts"
MSN_14,"Telencephalon projecting inhibitory neurons, marker genes Drd2_Penk_Gpr139"
DGGRC,"Dentate gyrus granule neurons, marker genes Nptx1_Prox1_C1ql3"
CBGRC_1,"Cerebellum neurons, marker genes Cbln1_Nrep"
CBGRC_2,"Cerebellum neurons, marker genes Cbln1_Nrep_Cnksr3"
CBINH_1,"Cerebellum neurons, marker genes Pvalb_Gad1_Kit_Whrn"
CBINH_2,"Cerebellum neurons, marker genes Cbln1_Nrep_Sost"
CBPC,"Cerebellum neurons, marker genes Car8_Pcp2_Ppp1r17"
